measure	vote	when
hr-1906	House 110-1-232	2007-04-19, after the last version committed (2007-04-18)
hr-2176	House 110-2-457	2008-06-25, after the last version committed (2008-04-04)
hr-2176	House 110-2-458	2008-06-25, after the last version committed (2008-04-04)
hr-2207	House 110-1-335	2007-05-10, after the last version committed (2007-05-08)
hr-2207	House 110-1-336	2007-05-10, after the last version committed (2007-05-08)
hr-2237	House 110-1-329	2007-05-10, after the last version committed (2007-05-09)
hr-2237	House 110-1-330	2007-05-10, after the last version committed (2007-05-09)
hr-2272	House 110-1-770	2007-07-31, after the last version committed (2007-05-22)
hr-2272	House 110-1-801	2007-08-02, after the last version committed (2007-05-22)
hr-2272	House 110-1-802	2007-08-02, after the last version committed (2007-05-22)
hr-2419	House 110-2-346	2008-05-21, after the last version committed (2008-05-20)
hr-2419	Senate 110-2-140	2008-05-22, after the last version committed (2008-05-20)
hr-2560	House 110-1-439	2007-06-06, after the last version committed (2007-06-05)
hr-2642	Senate 110-2-161	2008-06-26, after the last version committed (2008-06-19)
hr-2642	Senate 110-2-162	2008-06-26, after the last version committed (2008-06-19)
hr-2761	House 110-1-1178	2007-12-18, after the last version committed (2007-09-20)
hr-2776	House 110-1-834	2007-08-04, after the last version committed (2007-06-27)
hr-2776	House 110-1-835	2007-08-04, after the last version committed (2007-06-27)
hr-2831	Senate 110-2-110	2008-04-23, after the last version committed (2007-08-02)
hr-2857	House 110-2-105	2008-03-06, after the last version committed (2007-11-01)
hr-2857	House 110-2-106	2008-03-06, after the last version committed (2007-11-01)
hr-2857	House 110-2-107	2008-03-06, after the last version committed (2007-11-01)
hr-2881	Senate 110-2-114	2008-04-28, after the last version committed (2007-09-24)
hr-2881	Senate 110-2-115	2008-05-06, after the last version committed (2007-09-24)
hr-3058	House 110-2-387	2008-06-05, after the last version committed (2008-01-15)
hr-3121	House 110-2-485	2008-07-10, after the last version committed (2008-05-13)
hr-3221	House 110-2-519	2008-07-23, after the last version committed (2008-07-16)
hr-3221	Senate 110-2-185	2008-07-25, after the last version committed (2008-07-16)
hr-3221	Senate 110-2-186	2008-07-26, after the last version committed (2008-07-16)
hr-3521	House 110-2-75	2008-02-26, after the last version committed (2008-01-29)
hr-3521	House 110-2-76	2008-02-26, after the last version committed (2008-01-29)
hr-3521	House 110-2-77	2008-02-26, after the last version committed (2008-01-29)
hr-3678	House 110-1-1014	2007-10-30, after the last version committed (2007-10-18)
hr-3690	House 110-1-1182	2007-12-18, after the last version committed (2007-12-05)
hr-3996	House 110-1-1183	2007-12-19, after the last version committed (2007-11-09)
hr-3996	Senate 110-1-414	2007-12-06, after the last version committed (2007-11-09)
hr-3996	Senate 110-1-415	2007-12-06, after the last version committed (2007-11-09)
hr-3997	House 110-2-674	2008-09-29, after the last version committed (2007-12-19)
hr-4156	Senate 110-1-411	2007-11-16, after the last version committed (2007-11-14)
hr-5036	House 110-2-188	2008-04-15, after the last version committed (2008-04-14)
hr-5140	House 110-2-42	2008-02-07, after the last version committed (2008-01-29)
hr-5140	Senate 110-2-10	2008-02-07, after the last version committed (2008-01-29)
hr-5140	Senate 110-2-5	2008-02-04, after the last version committed (2008-01-29)
hr-5140	Senate 110-2-8	2008-02-06, after the last version committed (2008-01-29)
hr-5140	Senate 110-2-9	2008-02-07, after the last version committed (2008-01-29)
hr-5349	House 110-2-53	2008-02-13, after the last version committed (2008-02-12)
hr-5349	House 110-2-54	2008-02-13, after the last version committed (2008-02-12)
hr-5563	House 110-2-131	2008-03-12, after the last version committed (2008-03-10)
hr-5803	House 110-2-493	2008-07-15, after the last version committed (2008-05-15)
hr-5876	House 110-2-444	2008-06-24, after the last version committed (2008-05-22)
hr-6124	House 110-2-417	2008-06-18, after the last version committed (2008-06-12)
hr-6124	Senate 110-2-151	2008-06-18, after the last version committed (2008-06-12)
hr-6251	House 110-2-469	2008-06-26, after the last version committed (2008-06-12)
hr-6331	House 110-2-491	2008-07-15, after the last version committed (2008-07-09)
hr-6331	Senate 110-2-177	2008-07-15, after the last version committed (2008-07-09)
hr-6346	House 110-2-448	2008-06-24, after the last version committed (2008-06-23)
hr-6515	House 110-2-511	2008-07-17, after the last version committed (2008-07-16)
hr-6578	House 110-2-527	2008-07-24, after the last version committed (2008-07-23)
hr-6707	House 110-2-663	2008-09-27, after the last version committed (2008-09-26)
hr-7005	Senate 110-2-215	2008-12-11, after the last version committed (2008-12-09)
hr-7175	House 110-2-675	2008-09-29, after the last version committed (2008-09-27)
hres-590	House 110-1-907	2007-09-25, after the last version committed (2007-07-31)
hres-977	House 110-2-404	2008-06-11, after the last version committed (2008-02-12)
hres-1276	House 110-2-435	2008-06-20, after the last version committed (2008-06-17)
hres-1276	House 110-2-436	2008-06-20, after the last version committed (2008-06-17)
s-1	Senate 110-1-293	2007-08-02, after the last version committed (2007-08-01)
s-1	Senate 110-1-294	2007-08-02, after the last version committed (2007-08-01)
s-3	Senate 110-1-132	2007-04-18, after the last version committed (2007-04-13)
s-4	Senate 110-1-53	2007-02-27, after the last version committed (2007-02-23)
s-4	Senate 110-1-54	2007-02-28, after the last version committed (2007-02-23)
s-4	Senate 110-1-55	2007-02-28, after the last version committed (2007-02-23)
s-4	Senate 110-1-56	2007-03-01, after the last version committed (2007-02-23)
s-4	Senate 110-1-57	2007-03-02, after the last version committed (2007-02-23)
s-4	Senate 110-1-58	2007-03-02, after the last version committed (2007-02-23)
s-4	Senate 110-1-60	2007-03-06, after the last version committed (2007-02-23)
s-4	Senate 110-1-61	2007-03-06, after the last version committed (2007-02-23)
s-4	Senate 110-1-62	2007-03-06, after the last version committed (2007-02-23)
s-4	Senate 110-1-63	2007-03-06, after the last version committed (2007-02-23)
s-4	Senate 110-1-64	2007-03-07, after the last version committed (2007-02-23)
s-4	Senate 110-1-65	2007-03-07, after the last version committed (2007-02-23)
s-4	Senate 110-1-66	2007-03-07, after the last version committed (2007-02-23)
s-4	Senate 110-1-68	2007-03-09, after the last version committed (2007-02-23)
s-4	Senate 110-1-69	2007-03-09, after the last version committed (2007-02-23)
s-4	Senate 110-1-70	2007-03-13, after the last version committed (2007-02-23)
s-4	Senate 110-1-71	2007-03-13, after the last version committed (2007-02-23)
s-4	Senate 110-1-72	2007-03-13, after the last version committed (2007-02-23)
s-4	Senate 110-1-73	2007-03-13, after the last version committed (2007-02-23)
s-5	House 110-1-442	2007-06-07, after the last version committed (2007-01-08)
s-5	House 110-1-443	2007-06-07, after the last version committed (2007-01-08)
s-5	Senate 110-1-127	2007-04-11, after the last version committed (2007-01-08)
s-30	Senate 110-1-128	2007-04-11, after the last version committed (2007-03-29)
s-214	House 110-1-397	2007-05-22, after the last version committed (2007-02-12)
s-214	Senate 110-1-79	2007-03-20, after the last version committed (2007-02-12)
s-214	Senate 110-1-80	2007-03-20, after the last version committed (2007-02-12)
s-214	Senate 110-1-81	2007-03-20, after the last version committed (2007-02-12)
s-372	Senate 110-1-129	2007-04-12, after the last version committed (2007-01-24)
s-372	Senate 110-1-130	2007-04-16, after the last version committed (2007-01-24)
s-372	Senate 110-1-131	2007-04-17, after the last version committed (2007-01-24)
s-378	Senate 110-1-133	2007-04-18, after the last version committed (2007-03-29)
s-378	Senate 110-1-134	2007-04-18, after the last version committed (2007-03-29)
s-378	Senate 110-1-135	2007-04-19, after the last version committed (2007-03-29)
s-470	Senate 110-1-44	2007-02-05, after the last version committed (2007-02-01)
s-574	Senate 110-1-51	2007-02-17, after the last version committed (2007-02-14)
s-761	Senate 110-1-137	2007-04-24, after the last version committed (2007-03-06)
s-761	Senate 110-1-138	2007-04-24, after the last version committed (2007-03-06)
s-761	Senate 110-1-139	2007-04-24, after the last version committed (2007-03-06)
s-761	Senate 110-1-140	2007-04-24, after the last version committed (2007-03-06)
s-761	Senate 110-1-141	2007-04-25, after the last version committed (2007-03-06)
s-761	Senate 110-1-142	2007-04-25, after the last version committed (2007-03-06)
s-761	Senate 110-1-143	2007-04-25, after the last version committed (2007-03-06)
s-761	Senate 110-1-144	2007-04-25, after the last version committed (2007-03-06)
s-761	Senate 110-1-145	2007-04-25, after the last version committed (2007-03-06)
s-761	Senate 110-1-146	2007-04-25, after the last version committed (2007-03-06)
s-1257	Senate 110-1-339	2007-09-18, after the last version committed (2007-06-28)
s-1348	Senate 110-1-173	2007-05-21, after the last version committed (2007-05-10)
s-1348	Senate 110-1-174	2007-05-22, after the last version committed (2007-05-10)
s-1348	Senate 110-1-175	2007-05-23, after the last version committed (2007-05-10)
s-1348	Senate 110-1-176	2007-05-24, after the last version committed (2007-05-10)
s-1348	Senate 110-1-177	2007-05-24, after the last version committed (2007-05-10)
s-1348	Senate 110-1-178	2007-05-24, after the last version committed (2007-05-10)
s-1348	Senate 110-1-179	2007-05-24, after the last version committed (2007-05-10)
s-1348	Senate 110-1-180	2007-05-24, after the last version committed (2007-05-10)
s-1348	Senate 110-1-182	2007-06-05, after the last version committed (2007-05-10)
s-1348	Senate 110-1-183	2007-06-05, after the last version committed (2007-05-10)
s-1348	Senate 110-1-184	2007-06-05, after the last version committed (2007-05-10)
s-1348	Senate 110-1-185	2007-06-05, after the last version committed (2007-05-10)
s-1348	Senate 110-1-186	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-187	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-188	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-189	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-190	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-191	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-192	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-193	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-194	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-195	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-196	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-197	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-198	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-199	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-200	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-201	2007-06-06, after the last version committed (2007-05-10)
s-1348	Senate 110-1-202	2007-06-07, after the last version committed (2007-05-10)
s-1348	Senate 110-1-203	2007-06-07, after the last version committed (2007-05-10)
s-1348	Senate 110-1-204	2007-06-07, after the last version committed (2007-05-10)
s-1348	Senate 110-1-206	2007-06-07, after the last version committed (2007-05-10)
s-2035	Senate 110-2-191	2008-07-30, after the last version committed (2007-10-22)
s-2205	Senate 110-1-394	2007-10-24, after the last version committed (2007-10-19)
s-2248	Senate 110-1-435	2007-12-17, after the last version committed (2007-11-16)
s-2248	Senate 110-2-11	2008-02-07, after the last version committed (2007-11-16)
s-2248	Senate 110-2-12	2008-02-07, after the last version committed (2007-11-16)
s-2248	Senate 110-2-14	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-15	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-16	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-17	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-18	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-19	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-2	2008-01-24, after the last version committed (2007-11-16)
s-2248	Senate 110-2-20	2008-02-12, after the last version committed (2007-11-16)
s-2248	Senate 110-2-3	2008-01-28, after the last version committed (2007-11-16)
s-2248	Senate 110-2-4	2008-01-28, after the last version committed (2007-11-16)
s-2248	Senate 110-2-7	2008-02-06, after the last version committed (2007-11-16)
s-2284	Senate 110-2-116	2008-05-06, after the last version committed (2007-11-01)
s-2284	Senate 110-2-117	2008-05-07, after the last version committed (2007-11-01)
s-2284	Senate 110-2-118	2008-05-07, after the last version committed (2007-11-01)
s-2284	Senate 110-2-119	2008-05-07, after the last version committed (2007-11-01)
s-2284	Senate 110-2-120	2008-05-07, after the last version committed (2007-11-01)
s-2284	Senate 110-2-121	2008-05-08, after the last version committed (2007-11-01)
s-2284	Senate 110-2-122	2008-05-08, after the last version committed (2007-11-01)
s-2284	Senate 110-2-123	2008-05-13, after the last version committed (2007-11-01)
s-2284	Senate 110-2-124	2008-05-13, after the last version committed (2007-11-01)
s-2284	Senate 110-2-125	2008-05-13, after the last version committed (2007-11-01)
s-2340	Senate 110-1-410	2007-11-16, after the last version committed (2007-11-14)
s-2633	Senate 110-2-33	2008-02-26, after the last version committed (2008-02-14)
s-2634	Senate 110-2-34	2008-02-27, after the last version committed (2008-02-14)
s-2731	Senate 110-2-174	2008-07-11, after the last version committed (2008-04-15)
s-2731	Senate 110-2-175	2008-07-15, after the last version committed (2008-04-15)
s-2731	Senate 110-2-176	2008-07-15, after the last version committed (2008-04-15)
s-2731	Senate 110-2-178	2008-07-16, after the last version committed (2008-04-15)
s-2731	Senate 110-2-179	2008-07-16, after the last version committed (2008-04-15)
s-2731	Senate 110-2-180	2008-07-16, after the last version committed (2008-04-15)
s-2731	Senate 110-2-181	2008-07-16, after the last version committed (2008-04-15)
s-2731	Senate 110-2-182	2008-07-16, after the last version committed (2008-04-15)
s-3036	Senate 110-2-141	2008-06-02, after the last version committed (2008-05-21)
s-3036	Senate 110-2-145	2008-06-06, after the last version committed (2008-05-21)
s-3044	Senate 110-2-146	2008-06-10, after the last version committed (2008-05-21)
s-3101	Senate 110-2-149	2008-06-12, after the last version committed (2008-06-09)
s-3186	Senate 110-2-187	2008-07-26, after the last version committed (2008-06-25)
s-3268	Senate 110-2-183	2008-07-22, after the last version committed (2008-07-16)
s-3268	Senate 110-2-184	2008-07-25, after the last version committed (2008-07-16)
s-3297	Senate 110-2-189	2008-07-28, after the last version committed (2008-07-23)
s-3335	Senate 110-2-192	2008-07-30, after the last version committed (2008-07-25)
sconres-2	Senate 110-1-43	2007-02-01, after the last version committed (2007-01-24)
sconres-21	House 110-1-377	2007-05-17, after the last version committed (2007-05-08)
sconres-21	Senate 110-1-159	2007-05-09, after the last version committed (2007-05-08)
sconres-21	Senate 110-1-160	2007-05-09, after the last version committed (2007-05-08)
sconres-21	Senate 110-1-161	2007-05-09, after the last version committed (2007-05-08)
sconres-21	Senate 110-1-172	2007-05-17, after the last version committed (2007-05-08)
sjres-9	Senate 110-1-74	2007-03-14, after the last version committed (2007-03-09)
sjres-9	Senate 110-1-75	2007-03-15, after the last version committed (2007-03-09)
sjres-14	Senate 110-1-207	2007-06-11, after the last version committed (2007-05-25)
